entity_id_candidate;name_official_candidate;place_rank;place_id;place_name;formatted_address;places_status
vr_007405;DJK Schwarz Weiß Neukölln 1920;1.0;ChIJyQnGASdFqEcRh3fF4D6tloQ;DJK Schwarz-Weiß Neukölln e.V.;Buckower Damm 13, 12349 Berlin-Bezirk Neukölln;OK
vr_003907;Sportvereinigung Deutsche Jugendkraft Wilmersdorf e. V.;1.0;ChIJJct7-PBQqEcRnaGSWgeFfnw;DJK-Wilmersdorf e.V.;Düsseldorfer Str. 13, 10719 Berlin-Bezirk Charlottenburg-Wilmersdorf;OK
vr_024023;Sportvereinigung Deutsche Jugendkraft Süd Berlin e. V.;1.0;ChIJgUnmQMNPqEcRm-VmpQmSo-g;DJK Süd e. V. JUDO Halle;Götzstraße 34, 12099 Berlin;OK
vr_024023;Sportvereinigung Deutsche Jugendkraft Süd Berlin e. V.;2.0;ChIJLZ-jCQJVqEcRENZD-AJV6TU;DJK Spandau Schützenverein;Hakenfelder Str. 30, 13587 Berlin;OK
vr_024023;Sportvereinigung Deutsche Jugendkraft Süd Berlin e. V.;3.0;ChIJyQnGASdFqEcRh3fF4D6tloQ;DJK Schwarz-Weiß Neukölln e.V.;Buckower Damm 13, 12349 Berlin-Bezirk Neukölln;OK
vr_023557;Schwimmvereinigung Deutsche Jugendkraft Berlin-Reinickendorf e. V.;1.0;ChIJ2dAoTgBTqEcRxtuxiPvOiK4;DJK Berlin-Reinickendorf - Volleyball;Dannenwalder Weg 163-165, 13439 Berlin;OK
vr_023557;Schwimmvereinigung Deutsche Jugendkraft Berlin-Reinickendorf e. V.;2.0;ChIJWStR70JUqEcRbxxRLn73LxQ;SSC Berlin – Reinickendorf eV;Treskowstraße 8, 13507 Berlin;OK
vr_028436;Deutsche Jugendkraft Frauenfußball Club Britz 09 e. V.;1.0;ChIJf0DpGHJGqEcRC4thvDpck7Y;Frauen- und Mädchenfußball Berlin Britz - Neukölln DJK FFC Britz 09 e.V. - Spielstätte;Haarlemer Str. 23-27, 12359 Berlin;OK
vr_028436;Deutsche Jugendkraft Frauenfußball Club Britz 09 e. V.;2.0;ChIJAQDkGHJGqEcRlZQIgcM2PJs;Djk Ffc Britz 09 - Geschäftsstelle;Alt-Rudow 41, 12357 Berlin;OK
vr_005441;Wasserfreunde Spandau 04 e. V.;1.0;ChIJiXcZWOJWqEcR4iMPXNwqK7Q;Wasserfreunde Spandau 04 e.V.;Prinz-Friedrich-Karl-Weg 8, 14053 Berlin;OK
vr_017250;TTC Borussia Spandau e. V.;1.0;ChIJk-nKqk9WqEcRQzIGdHNIriI;TTC Borussia Spandau e.V.;Grunewaldstraße 8, 13597 Berlin-Bezirk Spandau;OK
